Ticker,Sector,Window,Window_Days,N_Folds,N_Test_Samples,F1_Baseline,F1_Enhanced,Lift_%,Precision_Baseline,Precision_Enhanced,Recall_Baseline,Recall_Enhanced,DM_Stat,P_Value,Significant_Alpha?
GBCO.CA,Holdings,Strategic,756,61,3843,0.41054384528542304,0.3978443584030501,-3.0933326679258464,0.40935174958580156,0.41750927796102516,0.4391542324019008,0.45182909172236085,0.3313864921766681,0.740370640419719,No
HDBK.CA,Banking,Reactionary,126,96,5985,0.393553394707652,0.37901540672916834,-3.6940319087535975,0.40644056220996144,0.39541386018319613,0.4314423612736252,0.42199547734369575,0.4658941636870839,0.6413082156736949,No
HDBK.CA,Banking,Tactical,378,92,5796,0.4253228799611869,0.419629190026678,-1.3386747345989234,0.4388138956201605,0.43305162031050337,0.4418133027585459,0.45715841389562545,-0.1259139262627149,0.8998044268215135,No
HDBK.CA,Banking,Strategic,756,86,5418,0.4456849297482608,0.45431553986722933,1.9364823764275416,0.4529306701291204,0.44507092425613914,0.46401516494494294,0.5159696001681315,-0.570507436350702,0.5683572426187691,No
HELI.CA,Real Estate,Reactionary,126,98,6111,0.3769194729037031,0.37124458998523197,-1.505595578480756,0.39380198399325167,0.4013637090982437,0.41298949431818016,0.41250806568239684,-0.5452921341540289,0.5855725172939632,No
HELI.CA,Real Estate,Tactical,378,94,5922,0.42759096524810886,0.42172906750331196,-1.370912442314009,0.43690175779181056,0.4450517203142719,0.45956228839447255,0.4693445014980117,-2.8335233566062095,0.004619366865362018,Yes
HELI.CA,Real Estate,Strategic,756,88,5544,0.4675971920631288,0.4604603244771122,-1.5262853813401502,0.4599516375909864,0.45835469254611677,0.5095271129495653,0.5131489752250052,-3.4946118679500904,0.0004784645523034925,Yes
HRHO.CA,Financial Services,Reactionary,126,92,5796,0.4403308714236981,0.4279280676812649,-2.8167009281751856,0.4801585119345704,0.4764469747832787,0.4643191216807953,0.4565432685126544,-0.8498787094930462,0.3954276335222844,No
HRHO.CA,Financial Services,Tactical,378,88,5544,0.4610010219316058,0.46411498570512283,0.6754787137931798,0.4825192490838024,0.479385263424207,0.47565596521935216,0.49340298877527206,-1.8169410617559296,0.06928011679286716,No
HRHO.CA,Financial Services,Strategic,756,82,5166,0.4965935470582288,0.4915898166162791,-1.007610846252693,0.4965030991121406,0.4972923222071464,0.5224341465410981,0.5338517172585839,-2.7342283709622417,0.0062739858262161885,Yes
ISPH.CA,Consumer,Reactionary,126,29,1827,0.4173571601510093,0.3971276466713915,-4.847050778354521,0.45704120635363676,0.4248714177793371,0.4284304087994699,0.41591446213550975,0.5270069777981595,0.5982527589935969,No
ISPH.CA,Consumer,Tactical,378,25,1575,0.46098629551174114,0.4328631456563958,-6.100647704532266,0.4691547451601121,0.46656751865481133,0.4799785834469915,0.46976830800552444,-0.30877133512867994,0.7575363377653774,No
ISPH.CA,Consumer,Strategic,756,19,1197,0.42886764572571723,0.41923993915978575,-2.2449132411561985,0.47104034645492515,0.47257341336144454,0.4497802412811866,0.4685348176512464,-1.236904962790345,0.21636518268356109,No
JUFO.CA,Consumer,Reactionary,126,59,3717,0.4265665148938768,0.39829895646094915,-6.626764512906082,0.4206549952090588,0.41813801907493003,0.48100360758206234,0.4726090229544357,0.1172638804304831,0.9066572839785205,No
JUFO.CA,Consumer,Tactical,378,55,3465,0.466987211371223,0.4471954339985266,-4.238184021053046,0.4484781048116371,0.4309208765805449,0.513369881395463,0.5219058062820989,-1.327040090589336,0.1845828837292791,No
JUFO.CA,Consumer,Strategic,756,49,3087,0.46345523278037204,0.4474713746664241,-3.4488461847883705,0.4438142392330105,0.43480961570961957,0.5112325337630261,0.5236588112338424,-2.768907339257655,0.005658069632184182,Yes
MASR.CA,Real Estate,Reactionary,126,98,5985,0.40407474482466305,0.3899234759792337,-3.5021413801968446,0.40874524173354526,0.38828336677405156,0.4546808084988948,0.45315088817723226,1.141580690291805,0.2536740336339083,No
MASR.CA,Real Estate,Tactical,378,94,5922,0.4320200426642421,0.42520885237814626,-1.576591272037202,0.42720590001584674,0.4204241428765431,0.49795419841320193,0.5019137334013806,-4.154407162426054,3.307231721705328e-05,Yes
MASR.CA,Real Estate,Strategic,756,88,5544,0.4513355075092767,0.456303970338558,1.1008357965674118,0.4327177292293621,0.434544128324195,0.5322275109069265,0.5503257985867737,-1.3063183270799488,0.1914985287450337,No
