Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
ETEL.CA,Telecom,Medium,52,76,988,0.4870006596837704,0.5256821029847346,0.5321632680185311,0.5292981506797296,0.4803906837870908,0.5349040214171792,0.5345963977542926,0.5412707906128958,-1.3572827398163452,1.7542766588560033,-0.04662993155557964,0.9628176089050355,No
ETEL.CA,Telecom,Long,104,72,936,0.5234579389765148,0.5510236291486291,0.5623265623265623,0.5661906766073433,0.5236833805074259,0.5429267877184544,0.5740026177526177,0.578723745390412,0.04306774510897241,-1.4694181885965487,-0.22365294212396863,0.8230762211933826,No
EXPA.CA,Banking,Short,26,98,1235,0.46112240727606535,0.5597201336675022,0.5403914506546085,0.5511027568922305,0.46606859455971406,0.5460108604845446,0.5086857002646477,0.5425772765246449,1.0726408445138769,-2.4493085666097296,2.9475009967782992,0.003263768215759244,Yes
EXPA.CA,Banking,Medium,52,96,1235,0.4341910806771488,0.5327777777777778,0.5072722891143944,0.49389724310776945,0.4481612735751565,0.5564870509607353,0.4999103820156453,0.5147702589807853,3.217521851489972,4.450124267916937,2.15908007720497,0.031036193161541492,Yes
EXPA.CA,Banking,Long,104,92,1196,0.4447766080556496,0.5411663216011042,0.5125447016751364,0.48378191856452724,0.448934607554543,0.5616977225672877,0.5282506141201794,0.4842261904761905,0.9348512092554008,3.7939169801695862,1.6750531347168505,0.09418543910582522,No
FAIT.CA,Banking,Short,26,92,1144,0.4395813946193907,0.5120470123311033,0.4860853161989525,0.4971357241243605,0.4597721807658832,0.5150621474485111,0.5199900478309569,0.5114562836153745,4.5931848785307645,0.5888395098101151,2.98478881957868,0.0028980859721678964,Yes
FAIT.CA,Banking,Medium,52,90,1144,0.4538265216582836,0.5318673750491932,0.4962063504677141,0.5187926341335433,0.44341887511743977,0.52244277187459,0.4829072442708806,0.49712998491407584,-2.2933094572820982,-1.7719836968250884,2.3269012826975275,0.020144551604978078,Yes
FAIT.CA,Banking,Long,104,86,1118,0.4692153950280885,0.5255646162622906,0.48278549615758914,0.5157027081445686,0.4776305657686606,0.5207175576361625,0.5005364144899029,0.5230985100171147,1.79345580510382,-0.9222574115813601,1.067924184307284,0.28578545378342435,No
FWRY.CA,Financial Services,Short,26,23,299,0.5243978621250124,0.5129917184265009,0.5218924795011751,0.6008971704623878,0.46987620521743556,0.5435300207039337,0.47619602619602613,0.5401656314699793,-10.397002132434187,5.952981535667462,0.6299506081280248,0.5292096109304545,No
FWRY.CA,Financial Services,Medium,52,21,273,0.4375056160770447,0.45396825396825397,0.4830619116333403,0.46324640967498115,0.4449194939907014,0.5362622826908541,0.46397689611975335,0.4890400604686319,1.6945789130970002,18.127705627705616,1.2205645472265103,0.2233080015089408,No
